From,To,Reason,Transfer Date,Status At Transfer
SHCF,Auckland,Placement Management,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Convicted
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
Auckland,SHCF,Judicial,2-Jul-18,Sentenced (High)
SHCF,Auckland,Placement Management,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (High)
Auckland,ASCF,Personal Request,2-Jul-18,Sentenced (High)
Christchurch,Rolleston,Accepted for Programme,2-Jul-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low Medium)
Invercargill,OCF,Judicial,2-Jul-18,Remand - Accused
Waikeria,MECF,Judicial,2-Jul-18,Sentenced
Auckland,NRCF,Judicial,2-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,2-Jul-18,Remand - Convicted
Christchurch,Rolleston,Placement Review,2-Jul-18,Remand - Accused
Auckland,ASCF,Personal Request,2-Jul-18,Sentenced (Low Medium)
SHCF,ASCF,Population Management,2-Jul-18,Sentenced (High)
SHCF,ASCF,Population Management,2-Jul-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
SHCF,Auckland,Accepted for Programme,2-Jul-18,Sentenced (Low Medium)
SHCF,Tongariro,Accepted for Programme,3-Jul-18,Sentenced (Low)
MECF,Rimutaka,Personal Request,3-Jul-18,Sentenced (High)
OCF,Christchurch,Judicial,3-Jul-18,Remand - Convicted
MECF,Hawkes Bay,Accepted for Programme,3-Jul-18,Remand - Accused
OCF,Christchurch,Release,3-Jul-18,Sentenced (Low Medium)
Christchurch,OCF,Population Management,3-Jul-18,Sentenced
SHCF,MECF,Judicial,3-Jul-18,Remand - Accused
Whanganui,Rimutaka,Placement Management,3-Jul-18,Sentenced
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,3-Jul-18,Remand - Convicted
Christchurch,OCF,Population Management,3-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Personal Request,3-Jul-18,Sentenced (Low Medium)
Hawkes Bay,Tongariro,Population Management,3-Jul-18,Sentenced (Low Medium)
SHCF,Hawkes Bay,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
OCF,Rolleston,Accepted for Programme,3-Jul-18,Remand - Accused
SHCF,Whanganui,Accepted for Programme,3-Jul-18,Sentenced (Low)
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
Waikeria,Hawkes Bay,Population Management,3-Jul-18,Remand - Accused
Waikeria,Rimutaka,Population Management,3-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
Waikeria,Tongariro,Personal Request,3-Jul-18,Sentenced
Christchurch,OCF,Population Management,3-Jul-18,Sentenced (High)
Waikeria,Rimutaka,Placement Management,3-Jul-18,Sentenced (Low Medium)
Waikeria,Rimutaka,Population Management,3-Jul-18,Sentenced
Waikeria,Tongariro,Accepted for Programme,3-Jul-18,Sentenced
Waikeria,Rimutaka,Population Management,3-Jul-18,Remand - Accused
Waikeria,Hawkes Bay,Population Management,3-Jul-18,Remand - Accused
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
SHCF,Tongariro,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
Waikeria,MECF,In Transit/Multi-Site Move,3-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,3-Jul-18,Remand - Accused
Waikeria,MECF,Judicial,3-Jul-18,Remand - Accused
Tongariro,Rimutaka,Release,3-Jul-18,Sentenced (Minimum)
Christchurch,Rolleston,Population Management,4-Jul-18,Sentenced
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Invercargill,OCF,Placement Management,4-Jul-18,Remand - Accused
Waikeria,SHCF,Judicial,4-Jul-18,Remand - Accused
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Waikeria,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Invercargill,OCF,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
Hawkes Bay,Manawatu,Judicial,4-Jul-18,Remand - Accused
Waikeria,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Rimutaka,Whanganui,Personal Request,4-Jul-18,Remand - Accused
Rimutaka,Waikeria,Release,4-Jul-18,Sentenced (High)
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Recall Outstanding (Minimum)
MECF,ASCF,Population Management,4-Jul-18,Sentenced
SHCF,Waikeria,Judicial,4-Jul-18,Sentenced (High)
Whanganui,Hawkes Bay,Population Management,4-Jul-18,Sentenced (Minimum)
Tongariro,Waikeria,Placement Management,4-Jul-18,Sentenced (Low)
OCF,Invercargill,Placement Management,4-Jul-18,Sentenced
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Whanganui,Hawkes Bay,Population Management,4-Jul-18,Sentenced (Minimum)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Convicted
Hawkes Bay,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Whanganui,Waikeria,Judicial,4-Jul-18,Remand - Accused
Tongariro,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Low)
Hawkes Bay,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (High)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Minimum)
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Whanganui,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Convicted
OCF,Invercargill,Accepted for Programme,4-Jul-18,Sentenced (Low)
Rimutaka,SHCF,Personal Request,4-Jul-18,Remand - Convicted
Rimutaka,Whanganui,Personal Request,4-Jul-18,Sentenced (Low Medium)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Maximum)
Christchurch,Rolleston,Population Management,4-Jul-18,Remand - Accused
Manawatu,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (High)
Rimutaka,Tongariro,Population Management,4-Jul-18,Sentenced (High)
Hawkes Bay,Tongariro,Release,4-Jul-18,Sentenced (Low Medium)
Rimutaka,Tongariro,Accepted for Programme,4-Jul-18,Sentenced (Minimum)
Whanganui,Waikeria,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Rimutaka,Hawkes Bay,Accepted for Programme,4-Jul-18,Sentenced
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Rimutaka,Tongariro,Population Management,4-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,4-Jul-18,Remand - Convicted
Waikeria,NRCF,Judicial,4-Jul-18,Remand - Convicted
Rimutaka,Waikeria,Personal Request,4-Jul-18,Remand - Convicted
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Minimum)
Whanganui,Waikeria,Judicial,4-Jul-18,Remand - Accused
Rimutaka,Waikeria,Judicial,4-Jul-18,Remand - Accused
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Hawkes Bay,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (High)
Rimutaka,SHCF,Release,4-Jul-18,Sentenced (High)
MECF,ASCF,Population Management,4-Jul-18,Remand - Convicted
OCF,Invercargill,Personal Request,4-Jul-18,Sentenced (Low Medium)
Whanganui,Manawatu,Judicial,4-Jul-18,Remand - Convicted
ASCF,MECF,Release,4-Jul-18,Sentenced (High)
Whanganui,Waikeria,Judicial,4-Jul-18,Remand - Accused
Hawkes Bay,Waikeria,Judicial,4-Jul-18,Remand - Accused
Auckland,ASCF,Population Management,5-Jul-18,Sentenced (High)
Auckland,ASCF,Placement Management,5-Jul-18,Sentenced (High)
SHCF,MECF,Judicial,5-Jul-18,Remand - Accused
SHCF,MECF,Release,5-Jul-18,Sentenced (Low)
MECF,NRCF,Judicial,5-Jul-18,Remand - Accused
SHCF,Auckland,Personal Request,5-Jul-18,Sentenced (Minimum)
Christchurch,Rolleston,Accepted for Programme,5-Jul-18,Remand - Accused
SHCF,Auckland,Placement Management,5-Jul-18,Sentenced (Minimum)
Rimutaka,MECF,Judicial,5-Jul-18,Remand - Convicted
SHCF,MECF,Judicial,5-Jul-18,Remand - Accused
SHCF,MECF,In Transit/Multi-Site Move,5-Jul-18,Sentenced (Minimum)
Auckland,SHCF,Population Management,5-Jul-18,Sentenced
Hawkes Bay,MECF,In Transit/Multi-Site Move,5-Jul-18,Remand - Accused
SHCF,MECF,Release,5-Jul-18,Sentenced (High)
MECF,SHCF,In Transit/Multi-Site Move,5-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,5-Jul-18,Sentenced (High)
SHCF,MECF,Judicial,5-Jul-18,Remand - Convicted
SHCF,Auckland,Placement Management,5-Jul-18,Sentenced (Maximum)
Auckland,NRCF,Judicial,5-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,5-Jul-18,Remand - Accused
SHCF,ASCF,Personal Request,5-Jul-18,Sentenced (High)
Auckland,SHCF,Population Management,5-Jul-18,Sentenced (High)
OCF,Hawkes Bay,Judicial,5-Jul-18,Remand - Accused
Invercargill,OCF,Judicial,6-Jul-18,Remand - Accused
Waikeria,SHCF,Judicial,6-Jul-18,Remand - Accused
MECF,NRCF,Accepted for Programme,6-Jul-18,Sentenced (Minimum)
MECF,NRCF,Judicial,6-Jul-18,Remand - Accused
SHCF,Waikeria,Judicial,6-Jul-18,Remand - Accused
SHCF,Waikeria,Accepted for Programme,6-Jul-18,Sentenced (Low Medium)
OCF,Invercargill,Placement Management,6-Jul-18,Remand - Accused
Manawatu,NRCF,Personal Request,6-Jul-18,Sentenced (Low Medium)
Invercargill,OCF,Placement Management,6-Jul-18,Remand - Accused
NRCF,MECF,Population Management,6-Jul-18,Remand - Accused
MECF,NRCF,Placement Management,6-Jul-18,
Auckland,NRCF,Personal Request,6-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,6-Jul-18,Remand - Accused
SHCF,Tongariro,Accepted for Programme,6-Jul-18,Remand - Accused
Invercargill,Christchurch,Judicial,6-Jul-18,Remand - Accused
SHCF,Waikeria,Accepted for Programme,6-Jul-18,Sentenced (Low Medium)
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
MECF,Auckland,Population Management,9-Jul-18,Remand - Accused
Auckland,SHCF,In Transit/Multi-Site Move,9-Jul-18,Sentenced (Maximum)
OCF,SHCF,Release,9-Jul-18,Sentenced (High)
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
Christchurch,Auckland,Placement Management,9-Jul-18,Remand - Convicted
NRCF,MECF,Judicial,9-Jul-18,Remand - Accused
Auckland,Christchurch,Judicial,9-Jul-18,Sentenced (Maximum)
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
Auckland,Christchurch,Judicial,9-Jul-18,Sentenced (Maximum)
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Sentenced (Low)
NRCF,MECF,Medical,9-Jul-18,Remand - Accused
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
SHCF,MECF,Judicial,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
Auckland,NRCF,Judicial,9-Jul-18,Remand - Convicted
MECF,Auckland,Population Management,9-Jul-18,Remand - Convicted
MECF,NRCF,Judicial,9-Jul-18,Remand - Accused
Christchurch,Rolleston,Population Management,9-Jul-18,Sentenced
Auckland,SHCF,In Transit/Multi-Site Move,9-Jul-18,Sentenced
SHCF,MECF,In Transit/Multi-Site Move,9-Jul-18,Sentenced (Low Medium)
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
MECF,ASCF,Population Management,9-Jul-18,Sentenced
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
Christchurch,Rolleston,Placement Review,9-Jul-18,Sentenced
MECF,ASCF,Population Management,9-Jul-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
Auckland,NRCF,Judicial,9-Jul-18,Remand - Convicted
MECF,NRCF,Judicial,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
MECF,ASCF,Personal Request,9-Jul-18,Remand - Accused
MECF,ASCF,Population Management,9-Jul-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,9-Jul-18,Remand - Accused
MECF,Auckland,Population Management,9-Jul-18,Remand - Accused
Auckland,NRCF,Judicial,9-Jul-18,Remand - Convicted
Christchurch,Auckland,Placement Management,9-Jul-18,Sentenced (Low Medium)
Auckland,SHCF,In Transit/Multi-Site Move,9-Jul-18,Sentenced
NRCF,MECF,Population Management,9-Jul-18,Remand - Accused
MECF,NRCF,Judicial,9-Jul-18,Remand - Accused
MECF,ASCF,Population Management,9-Jul-18,Remand - Accused
MECF,NRCF,Judicial,9-Jul-18,Remand - Accused
Auckland,Christchurch,Judicial,9-Jul-18,Sentenced (Maximum)
MECF,NRCF,Judicial,9-Jul-18,Remand - Accused
Auckland,SHCF,In Transit/Multi-Site Move,9-Jul-18,Sentenced (Maximum)
Auckland,NRCF,Judicial,9-Jul-18,Remand - Convicted
NRCF,Auckland,Accepted for Programme,9-Jul-18,Sentenced (Minimum)
ASCF,Auckland,Placement Management,10-Jul-18,Sentenced (High)
SHCF,Hawkes Bay,Placement Management,10-Jul-18,Sentenced (High)
OCF,Christchurch,Placement Management,10-Jul-18,Remand - Accused
SHCF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
ASCF,Auckland,Placement Management,10-Jul-18,Sentenced (High)
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
OCF,Christchurch,Release,10-Jul-18,Sentenced (High)
Christchurch,Rolleston,Placement Review,10-Jul-18,Remand - Convicted
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
ASCF,Auckland,Population Management,10-Jul-18,Sentenced (High)
ASCF,Whanganui,Accepted for Programme,10-Jul-18,Sentenced (Low Medium)
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
ASCF,Auckland,Placement Management,10-Jul-18,Sentenced (High)
SHCF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
SHCF,Rimutaka,Placement Management,10-Jul-18,Sentenced
SHCF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
ASCF,Auckland,Placement Management,10-Jul-18,Sentenced (High)
SHCF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Accepted for Programme,10-Jul-18,Remand - Convicted
Hawkes Bay,Manawatu,Judicial,10-Jul-18,Sentenced (High)
MECF,Rimutaka,Population Management,10-Jul-18,Remand - Accused
Waikeria,Whanganui,Judicial,10-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Accepted for Programme,10-Jul-18,Remand - Accused
SHCF,Rimutaka,Population Management,10-Jul-18,Sentenced (Low Medium)
Rolleston,OCF,Release,10-Jul-18,Sentenced (Low Medium)
OCF,Rolleston,Accepted for Programme,10-Jul-18,Sentenced (High)
ASCF,Auckland,Placement Management,10-Jul-18,Sentenced (High)
SHCF,Hawkes Bay,Placement Management,10-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,10-Jul-18,Remand - Accused
SHCF,Rimutaka,Placement Management,10-Jul-18,Sentenced (High)
Christchurch,OCF,In Transit/Multi-Site Move,10-Jul-18,Sentenced
MECF,ASCF,Population Management,11-Jul-18,Sentenced
OCF,Invercargill,Placement Management,11-Jul-18,Sentenced (High)
Rimutaka,Tongariro,Population Management,11-Jul-18,Sentenced (Low)
Rimutaka,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (High)
NRCF,MECF,Population Management,11-Jul-18,Remand - Accused
MECF,NRCF,Judicial,11-Jul-18,Recall Outstanding
Hawkes Bay,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (Low)
Manawatu,Whanganui,Judicial,11-Jul-18,Sentenced (High)
Rimutaka,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (High)
Manawatu,SHCF,In Transit/Multi-Site Move,11-Jul-18,Remand - Accused
MECF,ASCF,Population Management,11-Jul-18,Sentenced
MECF,ASCF,Population Management,11-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,11-Jul-18,Remand - Accused
Rimutaka,Tongariro,Accepted for Programme,11-Jul-18,Sentenced (Low Medium)
Whanganui,Waikeria,Judicial,11-Jul-18,Remand - Accused
OCF,Invercargill,Judicial,11-Jul-18,Sentenced (High)
MECF,ASCF,Population Management,11-Jul-18,Sentenced (High)
NRCF,MECF,Judicial,11-Jul-18,Remand - Accused
Rimutaka,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (High)
Rolleston,Christchurch,Accepted for Programme,11-Jul-18,Sentenced (Minimum)
Rimutaka,Hawkes Bay,Population Management,11-Jul-18,Remand - Accused
MECF,NRCF,Judicial,11-Jul-18,Remand - Accused
Waikeria,SHCF,In Transit/Multi-Site Move,11-Jul-18,Remand - Convicted
Rimutaka,SHCF,Release,11-Jul-18,Remand - Accused
Whanganui,Waikeria,Judicial,11-Jul-18,Remand - Accused
Invercargill,OCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (Low Medium)
Rimutaka,Hawkes Bay,Population Management,11-Jul-18,Remand - Accused
MECF,NRCF,Judicial,11-Jul-18,Remand - Accused
Christchurch,Rolleston,Population Management,11-Jul-18,Remand - Accused
Invercargill,OCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (Minimum)
Hawkes Bay,SHCF,In Transit/Multi-Site Move,11-Jul-18,Remand - Accused
MECF,ASCF,Population Management,11-Jul-18,Sentenced
Waikeria,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced
MECF,ASCF,Population Management,11-Jul-18,Sentenced
Tongariro,Waikeria,Release,11-Jul-18,Sentenced (Low Medium)
Whanganui,Waikeria,Medical,11-Jul-18,Remand - Accused
Rimutaka,SHCF,In Transit/Multi-Site Move,11-Jul-18,Remand - Accused
Whanganui,SHCF,Accepted for Programme,11-Jul-18,(Bb)
NRCF,MECF,Population Management,11-Jul-18,Remand - Accused
MECF,ASCF,Population Management,11-Jul-18,Sentenced
Hawkes Bay,Waikeria,Judicial,11-Jul-18,Sentenced (High)
Rimutaka,Waikeria,Release,11-Jul-18,Remand - Accused
Waikeria,SHCF,Judicial,11-Jul-18,Sentenced
SHCF,Waikeria,Judicial,11-Jul-18,Sentenced
Rimutaka,SHCF,Release,11-Jul-18,Sentenced (High)
MECF,ASCF,Population Management,11-Jul-18,Sentenced
Whanganui,SHCF,Personal Request,11-Jul-18,Sentenced (High)
Rimutaka,SHCF,In Transit/Multi-Site Move,11-Jul-18,Remand - Accused
Rimutaka,SHCF,Medical,11-Jul-18,Remand - Accused
NRCF,MECF,Population Management,11-Jul-18,Remand - Accused
Auckland,NRCF,Placement Management,11-Jul-18,Sentenced (Low Medium)
Christchurch,Rolleston,Population Management,11-Jul-18,Sentenced
NRCF,MECF,Judicial,11-Jul-18,Remand - Accused
Hawkes Bay,SHCF,In Transit/Multi-Site Move,11-Jul-18,Sentenced (Low)
OCF,Invercargill,Population Management,11-Jul-18,Sentenced (Minimum)
Rimutaka,Waikeria,Judicial,11-Jul-18,Remand - Convicted
Rimutaka,SHCF,Release,11-Jul-18,Sentenced (High)
SHCF,MECF,Judicial,12-Jul-18,Sentenced (High)
Hawkes Bay,ASCF,Accepted for Programme,12-Jul-18,Sentenced (Low)
SHCF,MECF,In Transit/Multi-Site Move,12-Jul-18,Sentenced (Low Medium)
SHCF,MECF,Judicial,12-Jul-18,Remand - Accused
NRCF,MECF,Population Management,12-Jul-18,Remand - Accused
MECF,NRCF,Population Management,12-Jul-18,Remand - Accused
Waikeria,MECF,Judicial,12-Jul-18,Remand - Accused
SHCF,MECF,Release,12-Jul-18,Sentenced (High)
NRCF,MECF,Population Management,12-Jul-18,Remand - Accused
SHCF,MECF,Medical,12-Jul-18,Remand - Convicted
MECF,Auckland,Population Management,12-Jul-18,Remand - Convicted
MECF,Auckland,Population Management,12-Jul-18,Remand - Accused
MECF,SHCF,Population Management,12-Jul-18,Sentenced
Auckland,NRCF,Placement Management,12-Jul-18,Sentenced (High)
ASCF,MECF,Judicial,12-Jul-18,Sentenced (Low)
SHCF,ASCF,Population Management,12-Jul-18,Sentenced (High)
MECF,NRCF,Accepted for Programme,12-Jul-18,Sentenced (Low Medium)
ASCF,MECF,Population Management,12-Jul-18,Recall Outstanding
ASCF,MECF,Judicial,12-Jul-18,Sentenced (Low Medium)
SHCF,MECF,Judicial,12-Jul-18,Remand - Accused
ASCF,MECF,Judicial,12-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Population Management,12-Jul-18,Sentenced
ASCF,MECF,Judicial,12-Jul-18,Sentenced (High)
NRCF,MECF,Population Management,12-Jul-18,Remand - Accused
MECF,Auckland,Population Management,12-Jul-18,Remand - Accused
MECF,NRCF,Judicial,12-Jul-18,Remand - Accused
SHCF,MECF,Judicial,12-Jul-18,Remand - Accused
MECF,NRCF,Population Management,12-Jul-18,Sentenced
NRCF,MECF,Population Management,12-Jul-18,Remand - Accused
Hawkes Bay,MECF,Release,12-Jul-18,Sentenced (Low Medium)
Waikeria,SHCF,Personal Request,13-Jul-18,Remand - Accused
Waikeria,SHCF,Judicial,13-Jul-18,Remand - Accused
Waikeria,SHCF,Population Management,13-Jul-18,Remand - Accused
MECF,NRCF,Judicial,13-Jul-18,Remand - Accused
Waikeria,SHCF,Accepted for Programme,13-Jul-18,Remand - Accused
Christchurch,Rolleston,Population Management,13-Jul-18,Sentenced
Waikeria,SHCF,Population Management,13-Jul-18,Remand - Accused
Auckland,NRCF,Release,13-Jul-18,Sentenced (High)
SHCF,Waikeria,Judicial,13-Jul-18,Remand - Convicted
NRCF,MECF,Release,13-Jul-18,Sentenced (Low Medium)
Waikeria,SHCF,Judicial,13-Jul-18,Remand - Accused
Waikeria,SHCF,Population Management,13-Jul-18,Remand - Accused
Auckland,ASCF,Personal Request,16-Jul-18,Sentenced (Low)
MECF,Auckland,Population Management,16-Jul-18,Remand - Accused
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,16-Jul-18,Remand - Accused
ASCF,SHCF,Accepted for Programme,16-Jul-18,Sentenced (High)
Tongariro,Hawkes Bay,Placement Management,16-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Sentenced
NRCF,Auckland,Accepted for Programme,16-Jul-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Remand - Accused
NRCF,MECF,Medical,16-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
Auckland,ASCF,Personal Request,16-Jul-18,Sentenced (High)
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Remand - Accused
OCF,Christchurch,Release,16-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
Auckland,ASCF,Population Management,16-Jul-18,Sentenced (Minimum)
MECF,ASCF,Population Management,16-Jul-18,Remand - Accused
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
OCF,Christchurch,Release,16-Jul-18,Sentenced (Low Medium)
ASCF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Sentenced (Low)
MECF,ASCF,Personal Request,16-Jul-18,Sentenced (Low Medium)
Auckland,NRCF,Population Management,16-Jul-18,Sentenced (Minimum)
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
MECF,Auckland,Population Management,16-Jul-18,Sentenced
NRCF,MECF,Population Management,16-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Remand - Accused
Auckland,ASCF,Population Management,16-Jul-18,Sentenced (Minimum)
MECF,ASCF,Population Management,16-Jul-18,Sentenced
Christchurch,Rolleston,Accepted for Programme,16-Jul-18,Sentenced (Minimum)
NRCF,MECF,Judicial,16-Jul-18,Sentenced (Minimum)
Auckland,NRCF,Personal Request,16-Jul-18,Sentenced (High)
Auckland,SHCF,In Transit/Multi-Site Move,16-Jul-18,Sentenced (Maximum)
ASCF,SHCF,Accepted for Programme,16-Jul-18,Sentenced (Minimum)
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Remand - Accused
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Sentenced
SHCF,Auckland,Placement Management,16-Jul-18,Sentenced
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
NRCF,MECF,Release,16-Jul-18,Sentenced (Low)
ASCF,SHCF,In Transit/Multi-Site Move,16-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,16-Jul-18,Remand - Accused
MECF,Auckland,Population Management,16-Jul-18,Remand - Convicted
SHCF,Rimutaka,Population Management,17-Jul-18,Remand - Accused
OCF,Christchurch,In Transit/Multi-Site Move,17-Jul-18,Remand - Accused
SHCF,Rimutaka,Population Management,17-Jul-18,Sentenced (High)
SHCF,Rimutaka,Population Management,17-Jul-18,Remand - Accused
